"SYS.STBR-NAME","PART#","PTS MK NAME","DESC","BASE-COST","NEW CORE PARTS","QOH","STAT","LAST SLS","LAST-RECV-DATE","SRC","BIN1","BIN2","COST","LIST","OLD PARTS NUMBER","CORE-QTY","GRP","ASSORTMENT-CLASS","STAT","UDF.EXT NEW CORE APP","NUMBER OF UNITS PER PKG","DIRTY CORE PARTS","BIN FOR DIRTY CORE"
"Honda of Concord","HP06311-RJA-505RM","HONDA","ALTERNATOR ASSY.",303.22,75.00,1,"AP","07/03/24","07/05/24",8,104,,303.22,505.37,,0,"311RM",,"AP",0,1,0.00,104
"Honda of Concord","HP06311-RTA-505RM","HONDA","ALTERNATOR, REMAN",262.12,75.00,1,,"06/13/25","06/14/25",5,104,,262.12,436.86,"HP31100-RTA-033RM",2,"311RM",,,0,1,150.00,104
"Honda of Concord","HP06311-RV0-515RM","HONDA","ALTERNATOR",369.75,225.00,3,,"06/12/25","06/14/25",3,104,,369.75,616.25,,1,"311RM",,,0,1,75.00,104
"Honda of Concord","HP06311-RX0-505RM","HONDA","ALTERNATOR",370.27,75.00,1,,"05/15/25","04/11/25",8,104,,370.27,617.12,,0,"311RM",,,0,1,0.00,104
"Honda of Concord","HP06311-RYP-505RM","HONDA","ALTERNATOR ASSY.",303.60,75.00,1,"AP","01/09/25","05/08/25",6,104,,303.60,506.00,"HP31100-RYP-A01RM",0,"311RM",,"AP",0,1,0.00,104
"Honda of Concord","HP06312-5A2-506RM","HONDA","STARTER (SM-74009)",293.91,225.00,3,,"06/10/25","06/11/25",3,120,,293.91,489.85,"HP31200-5A2-A52RM",3,"312RM",,,0,1,225.00,120
"Honda of Concord","HP06312-5G0-505RM","HONDA","STARTER (SM-74011)",293.05,75.00,1,,"06/11/25","03/06/25",5,120,,293.05,488.42,"HP31200-5G0-A04RM",1,"312RM",,,0,1,75.00,120
"Honda of Concord","HP06312-R1A-505RM","HONDA","STARTER (SM-74014)",307.48,75.00,1,,"05/13/25","05/14/25",5,120,,307.48,512.47,"HP31200-R1A-A12RM",0,"312RM",,,0,1,0.00,120
"Honda of Concord","HP06312-R70-505RM","HONDA","STARTER, CORE ID",296.28,75.00,1,,"06/09/25","06/10/25",8,120,,296.28,493.80,,1,"312RM",,,0,1,75.00,120
"Honda of Concord","HP06312-RAA-507RM","HONDA","STARTER (SM-71005)",313.30,75.00,1,,"05/23/25","05/28/25",5,120,,313.30,522.17,"HP31200-RAA-A61RM",0,"312RM",,,0,1,0.00,120
"Honda of Concord","HP06312-RKB-515RM","HONDA","STARTER,REMAN",335.99,75.00,1,,"10/26/24","10/29/24",8,110,,335.99,559.99,,0,"312RM",,,0,1,0.00,110
